[2025-04-25T15:08:23.374Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57275, socketId=7z3Z7Qw2BQnsWIPlAAAL)
[2025-04-25T15:08:40.111Z] - Peer connected (ip=::ffff:192.168.1.6, port=57473, socketId=GbyHLjreJ7oPEUc-AAAR)
[2025-04-25T15:08:40.186Z] - User online status updated (ip=::ffff:192.168.1.6, port=57473, socketId=GbyHLjreJ7oPEUc-AAAR)
[2025-04-25T15:08:59.945Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65093, socketId=9tGgzNzUqW8Qbdv7AAAP)
[2025-04-25T15:09:09.804Z] - Peer connected (ip=::ffff:192.168.1.8, port=65116, socketId=lea9dj-lP9vpaRIzAAAT)
[2025-04-25T15:09:09.884Z] - User online status updated (ip=::ffff:192.168.1.8, port=65116, socketId=lea9dj-lP9vpaRIzAAAT)
[2025-04-25T15:09:23.044Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57275, socketId=KsFIJSCw2hInXsSWAAAK)
[2025-04-25T15:09:23.046Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57473, socketId=GbyHLjreJ7oPEUc-AAAR)
[2025-04-25T15:09:23.099Z] - Peer connected (ip=::ffff:192.168.1.6, port=57506, socketId=5Wv4mUEpL32TFkcSAAAW)
[2025-04-25T15:09:23.101Z] - Peer connected (ip=::ffff:192.168.1.6, port=57506, socketId=K6c-nGKdPyhp7WFyAAAX)
[2025-04-25T15:09:23.104Z] - Peer registered (ip=::ffff:192.168.1.6, port=57506, socketId=5Wv4mUEpL32TFkcSAAAW)
[2025-04-25T15:09:23.112Z] - User offline status updated (ip=::ffff:192.168.1.6, port=57473, socketId=GbyHLjreJ7oPEUc-AAAR)
[2025-04-25T15:25:19.020Z] - Peer connected (ip=::ffff:192.168.1.8, port=65168, socketId=rG2zQgrXc3Hr-6NLAAAZ)
[2025-04-25T15:25:19.138Z] - Peer registered (ip=::ffff:192.168.1.8, port=65168, socketId=rG2zQgrXc3Hr-6NLAAAZ)
[2025-04-25T15:25:19.260Z] - Peer connected (ip=::ffff:192.168.1.6, port=57738, socketId=VXiXL_mHbabCAsroAAAb)
[2025-04-25T15:25:19.486Z] - Peer registered (ip=::ffff:192.168.1.6, port=57738, socketId=VXiXL_mHbabCAsroAAAb)
[2025-04-25T15:25:19.681Z] - Peer connected (ip=::ffff:192.168.1.6, port=57738, socketId=gcmNjYKgMVneElsWAAAd)
[2025-04-25T15:25:19.708Z] - Peer connected (ip=::ffff:192.168.1.8, port=65170, socketId=v7oVuXPD9vCRXqi2AAAf)
[2025-04-25T15:25:19.738Z] - Peer registered (ip=::ffff:192.168.1.8, port=65170, socketId=v7oVuXPD9vCRXqi2AAAf)
[2025-04-25T15:25:20.486Z] - Peer registered (ip=::ffff:192.168.1.6, port=57738, socketId=gcmNjYKgMVneElsWAAAd)
[2025-04-25T15:25:22.473Z] - Peer connected (ip=::ffff:192.168.1.6, port=57738, socketId=0J5QmJ4eEGSIGjDjAAAh)
[2025-04-25T15:25:22.496Z] - Peer connected (ip=::ffff:192.168.1.8, port=65168, socketId=teiG036gEjb35ikOAAAj)
[2025-04-25T15:25:22.627Z] - Peer registered (ip=::ffff:192.168.1.8, port=65168, socketId=teiG036gEjb35ikOAAAj)
[2025-04-25T15:25:23.466Z] - Peer registered (ip=::ffff:192.168.1.6, port=57738, socketId=0J5QmJ4eEGSIGjDjAAAh)
[2025-04-25T15:25:25.224Z] - Peer connected (ip=::ffff:192.168.1.6, port=57747, socketId=lXeVCleoO32gYoUIAAAl)
[2025-04-25T15:25:25.253Z] - Peer connected (ip=::ffff:192.168.1.8, port=65170, socketId=lg8gaV38latY6KJyAAAn)
[2025-04-25T15:25:25.384Z] - Peer registered (ip=::ffff:192.168.1.8, port=65170, socketId=lg8gaV38latY6KJyAAAn)
[2025-04-25T15:25:25.462Z] - Peer registered (ip=::ffff:192.168.1.6, port=57747, socketId=lXeVCleoO32gYoUIAAAl)
[2025-04-25T15:25:32.724Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65116, socketId=lea9dj-lP9vpaRIzAAAT)
[2025-04-25T15:25:32.744Z] - Peer connected (ip=::ffff:192.168.1.8, port=65176, socketId=-x291mrFv8xVMI8lAAAq)
[2025-04-25T15:25:32.798Z] - User offline status updated (ip=::ffff:192.168.1.8, port=65116, socketId=lea9dj-lP9vpaRIzAAAT)
[2025-04-25T15:25:32.814Z] - User online status updated (ip=::ffff:192.168.1.8, port=65176, socketId=-x291mrFv8xVMI8lAAAq)
[2025-04-25T15:25:33.470Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57506, socketId=K6c-nGKdPyhp7WFyAAAX)
[2025-04-25T15:25:33.491Z] - Peer connected (ip=::ffff:192.168.1.6, port=57750, socketId=5S-I_VMUFbIRwzveAAAs)
[2025-04-25T15:25:33.500Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57750, socketId=5S-I_VMUFbIRwzveAAAs)
[2025-04-25T15:25:33.507Z] - Peer connected (ip=::ffff:192.168.1.6, port=57752, socketId=OXSA77a7dOQ8mxU9AAAu)
[2025-04-25T15:25:33.538Z] - User offline status updated (ip=::ffff:192.168.1.6, port=57506, socketId=K6c-nGKdPyhp7WFyAAAX)
[2025-04-25T15:25:33.581Z] - User online status updated (ip=::ffff:192.168.1.6, port=57752, socketId=OXSA77a7dOQ8mxU9AAAu)
[2025-04-25T15:25:34.076Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65176, socketId=-x291mrFv8xVMI8lAAAq)
[2025-04-25T15:25:34.101Z] - Peer connected (ip=::ffff:192.168.1.8, port=65175, socketId=nyu-KBJDvimZxUavAAAx)
[2025-04-25T15:25:34.143Z] - User offline status updated (ip=::ffff:192.168.1.8, port=65176, socketId=-x291mrFv8xVMI8lAAAq)
[2025-04-25T15:25:34.173Z] - User online status updated (ip=::ffff:192.168.1.8, port=65175, socketId=nyu-KBJDvimZxUavAAAx)
[2025-04-25T15:25:34.471Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57752, socketId=OXSA77a7dOQ8mxU9AAAu)
[2025-04-25T15:25:34.482Z] - Peer connected (ip=::ffff:192.168.1.6, port=57751, socketId=xH0rUV5VkcA0kWyPAAAz)
[2025-04-25T15:25:34.486Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57751, socketId=xH0rUV5VkcA0kWyPAAAz)
[2025-04-25T15:25:34.488Z] - Peer connected (ip=::ffff:192.168.1.6, port=57752, socketId=eQaERHUer_AUQUSYAAA1)
[2025-04-25T15:25:34.536Z] - User offline status updated (ip=::ffff:192.168.1.6, port=57752, socketId=OXSA77a7dOQ8mxU9AAAu)
[2025-04-25T15:25:34.561Z] - User online status updated (ip=::ffff:192.168.1.6, port=57752, socketId=eQaERHUer_AUQUSYAAA1)
[2025-04-25T15:25:37.405Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65175, socketId=nyu-KBJDvimZxUavAAAx)
[2025-04-25T15:25:37.418Z] - Peer connected (ip=::ffff:192.168.1.8, port=65177, socketId=zJA1BBw1rwkqbI76AAA3)
[2025-04-25T15:25:37.434Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65177, socketId=zJA1BBw1rwkqbI76AAA3)
[2025-04-25T15:25:37.441Z] - Peer connected (ip=::ffff:192.168.1.8, port=65175, socketId=Q608GsiiQ0f_hQAxAAA5)
[2025-04-25T15:25:37.460Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57752, socketId=eQaERHUer_AUQUSYAAA1)
[2025-04-25T15:25:37.471Z] - User offline status updated (ip=::ffff:192.168.1.8, port=65175, socketId=nyu-KBJDvimZxUavAAAx)
[2025-04-25T15:25:37.474Z] - Peer connected (ip=::ffff:192.168.1.6, port=57751, socketId=1ZUZ3SEmspiFd60fAAA7)
[2025-04-25T15:25:37.478Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57751, socketId=1ZUZ3SEmspiFd60fAAA7)
[2025-04-25T15:25:37.479Z] - Peer connected (ip=::ffff:192.168.1.6, port=57754, socketId=24efslp5KSQkjZ67AAA9)
[2025-04-25T15:25:37.513Z] - User online status updated (ip=::ffff:192.168.1.8, port=65175, socketId=Q608GsiiQ0f_hQAxAAA5)
[2025-04-25T15:25:37.566Z] - User online status updated (ip=::ffff:192.168.1.6, port=57754, socketId=24efslp5KSQkjZ67AAA9)
[2025-04-25T15:25:37.916Z] - User offline status updated (ip=::ffff:192.168.1.6, port=57752, socketId=eQaERHUer_AUQUSYAAA1)
[2025-04-25T15:26:36.375Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65093, socketId=4LvnMehAFTFBJ9JSAAAO)
[2025-04-25T15:26:36.377Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65168, socketId=rG2zQgrXc3Hr-6NLAAAZ)
[2025-04-25T15:26:36.380Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65170, socketId=v7oVuXPD9vCRXqi2AAAf)
